title,director,cast,country,release_year,rating,duration,genre,type,imdb_score
The Land of Steady Habits,Nicole Holofcener,"Ben Mendelsohn, Edie Falco, Connie Britton, Thomas Mann, Bill Camp, Elizabeth Marvel, Charlie Tahan, Michael Gaston, Josh Pais",United States,2018,TV-MA,98 min,"Comedies, Dramas, Independent Movies",Movie,6.2
On My Skin,Alessio Cremonini,"Alessandro Borghi, Jasmine Trinca, Milvia Marigliano, Max Tortora",Italy,2018,TV-MA,100 min,"Dramas, International Movies",Movie,7.3
The Resistance Banker,Joram Lürsen,"Barry Atsma, Jacob Derwig, Pierre Bokma, Jaap Spijkers, Raymond Thiry, Fockeline Ouwerkerk, Matteo van der Grijn, Jochum ten Haaf, Peter Jordan, Götz Schubert",Netherlands,2018,TV-MA,123 min,"Dramas, International Movies",Movie,6.9
"My Teacher, My Obsession",Damián Romay,"Lucy Loken, Laura Bilgeri, Rusty Joiner, Alexandria Deberry, Dakota Bruton, Theresa Sutera, Vin Morreale Jr., Shelby Alicea, Tyler Joseph Campbell, Lestonja Diaz",United States,2018,TV-14,86 min,Thrillers,Movie,4.4
Next Gen,"Kevin R. Adams, Joe Ksander","John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu","China, Canada, United States",2018,TV-PG,106 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",Movie,6.6
The Most Assassinated Woman in the World,Franck Ribière,"Anna Mouglalis, Niels Schneider, André Wilms, Michel Fau, Sissi Duparc, Jean-Michel Balthazar, Julie Recoing, Eric Godon, Maya Coline, Constance Dollé","Belgium, United Kingdom, United States",2018,TV-MA,102 min,"Dramas, International Movies, Thrillers",Movie,5.3
PK,Rajkumar Hirani,"Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar",India,2014,TV-14,146 min,"Comedies, Dramas, International Movies",Movie,8.1
The Debt Collector,Jesse V. Johnson,"Scott Adkins, Louis Mandylor, Vladimir Kulich, Michael Paré, Rachel Brann, Selina Lo, Tony Todd","United Kingdom, United States",2018,TV-MA,96 min,Action & Adventure,Movie,5.8
Age of Rebellion,Peter Ho,"Peter Ho, Jeanine Yang, Tammy Chen, Jason Tsou, Chang Ting-hu, Nana Lee, Nien Hsuan Wu",Taiwan,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,8.6
Garbage,Qaushiq Mukherjee,"Tanmay Dhanania, Trimala Adhikari, Satarupa Das, Satchit Puranik, Gitanjali Dang, Shruti Viswan, Nikhil Chopra, Krish Moitra",India,2018,TV-MA,109 min,"Dramas, Independent Movies, International Movies",Movie,3.7
Love and Shukla,Jatla Siddartha,"Saharsh Kumar Shukla, Taneea Rajawat, Hima Singh, Aparna Upadhyay, Loknath Tiwari, Sambhaji Sasane",India,2017,TV-MA,110 min,"Dramas, Independent Movies, International Movies",Movie,7.3
Once Again,Kanwal Sethi,"Shefali Shah, Neeraj Kabi, Rasika Dugal, Bidita Bag, Priyanshu Painyuli, Bhagwan Tiwari","India, Germany, Austria",2018,TV-PG,101 min,"Dramas, Independent Movies, International Movies",Movie,7.0
Sparring,Samuel Jouy,"Mathieu Kassovitz, Olivia Merilahti, Souleymane M'Baye, Billie Blain, Malik Bine, Zakariya Gouram, Jolente De Keersmaeker, Lyes Salem, Ali Labidi, David Saracino",France,2017,TV-14,94 min,"Dramas, International Movies, Sports Movies",Movie,6.4
Chennai Express,Rohit Shetty,"Shah Rukh Khan, Deepika Padukone, Nikitin Dheer, Satyaraj, Kamini Kaushal, Lekh Tandon, Mukesh Tiwari",India,2013,TV-14,135 min,"Action & Adventure, Comedies, International Movies",Movie,6.0
The Laws of Thermodynamics,Mateo Gil,"Vito Sanz, Berta Vázquez, Chino Darín, Vicky Luengo, Andrea Ros, Irene Escolar, Josep Maria Pou, Daniel Sánchez Arévalo",Spain,2018,TV-MA,101 min,"Comedies, International Movies, Romantic Movies",Movie,6.0
Naam Shabana,Shivam Nair,"Tapsee Pannu, Akshay Kumar, Manoj Bajpayee, Prithviraj Sukumaran, Danny Denzongpa, Anupam Kher, Zakir Hussain, Virendra Saxenda",India,2017,TV-14,141 min,"Action & Adventure, International Movies",Movie,6.2
Qarib Qarib Singlle,Tanuja Chandra,"Irrfan Khan, Parvathy, Neha Dhupia, Pushtii Shakti, Luke Kenny, Siddharth Menon, Bajrangbali Singh, Brijendra Kala",India,2017,TV-14,120 min,"Comedies, International Movies, Romantic Movies",Movie,7.1
Spyder,A.R. Murugadoss,"Mahesh Babu, Rakul Preet Singh, S.J. Surya, Bharath Srinivasan, Priyadarshi Pullikonda, RJ Balaji",India,2017,TV-14,140 min,"Action & Adventure, International Movies",Movie,6.3
GHOUL,Patrick Graham,"Radhika Apte, Manav Kaul, Ratnabali Bhattacharjee, Mahesh Balraj",India,2018,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror",TV Show,8.0
Take My Brother Away,Han Qing,"Sun Qian, Joseph Zeng, Lv Xiao Yu, Hu Yong Tao, Wang Xu Dong, Ma Bai Quan",China,2018,TV-14,1 Season,"International TV Shows, TV Comedies, TV Dramas",TV Show,6.7
The After Party,Ian Edelman,"Kyle Harvey, Harrison Holzer, Teyana Taylor, Shelley Hennig, Wiz Khalifa, Blair Underwood, Jordan Rock, Amin Joseph, Andy Buckley, Jamie Choi",United States,2018,TV-MA,90 min,"Comedies, Music & Musicals",Movie,5.7
Bareilly Ki Barfi,Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi, Seema Pahwa, Rohit Chaudhury, Swati Semwal",India,2017,TV-PG,110 min,"Comedies, Dramas, International Movies",Movie,7.5
Mersal,Atlee Kumar,"Joseph Vijay, S.J. Surya, Kajal Aggarwal, Samantha Ruth Prabhu, Nithya Menon, Vadivelu, Sathyaraj",India,2017,TV-14,162 min,"Action & Adventure, Dramas, International Movies",Movie,7.5
Mom,Ravi Udyawar,"Sridevi, Akshaye Khanna, Sajal Ali, Nawazuddin Siddiqui, Adnan Siddiqui, Pitobash, Abhimanyu Singh, Vikas Verma",India,2017,TV-MA,139 min,"Dramas, International Movies, Thrillers",Movie,7.2
Pad Man,R. Balki,"Akshay Kumar, Sonam Kapoor, Radhika Apte, Jyoti Subhash, Urmila Mahanta, Suneel Sinha, Sanjay Singh, Rakesh Chaturvedi Om",India,2018,PG-13,130 min,"Dramas, International Movies, Romantic Movies",Movie,7.9
The Motive,Manuel Martín Cuenca,"Javier Gutiérrez, María León, Adelfa Calvo, Adriana Paz, Tenoch Huerta, Rafael Téllez, Antonio de la Torre","Spain, Mexico",2017,TV-MA,114 min,"Comedies, Dramas, International Movies",Movie,6.5
The Motive,Manuel Martín Cuenca,"Javier Gutiérrez, María León, Adelfa Calvo, Adriana Paz, Tenoch Huerta, Rafael Téllez, Antonio de la Torre","Spain, Mexico",2017,TV-MA,114 min,"Comedies, Dramas, International Movies",Movie,5.2
Bhavesh Joshi Superhero,Vikramaditya Motwane,"Harshvardhan Kapoor, Priyanshu Painyuli, Ashish Verma, Shreiya Sabharwal, Pratap Phad, Chinmayee Mandlekar, Nishikant Kamat, Hrishikesh Joshi",India,2018,TV-14,150 min,"Dramas, International Movies, Sci-Fi & Fantasy",Movie,7.6
For Here or to Go?,Rucha Humnabadkar,"Ali Fazal, Melanie Chandra, Rajit Kapoor, Amitosh Nagpal, Omi Vaidya, Samrat Chakrabarti, Keith Stevenson","United States, India",2015,TV-MA,105 min,"Comedies, Dramas, Independent Movies",Movie,6.7
What's Your Raashee?,Ashutosh Gowariker,"Priyanka Chopra, Harman Baweja, Suzy Brack, Gene Fojtik, Anjan Srivastav, Darshan Jariwala, Dilip Joshi, Daya Shankar Pandey, Yuri Suri, Rajesh Vivek, Geeta Tyagi",India,2009,TV-PG,203 min,"Comedies, International Movies, Music & Musicals",Movie,4.8
The Package,Jake Szymanski,"Daniel Doheny, Geraldine Viswanathan, Luke Spencer Roberts, Eduardo Franco, Sadie Calvano",United States,2018,TV-MA,95 min,Comedies,Movie,5.5
Perdida,Alejandro Montiel,"Luisana Lopilato, Amaia Salamanca, Rafael Spregelburd, Nicolás Furtado, Oriana Sabatini, Pedro Casablanc, Arancha Martí, Carlos Alcántara, María Onetto, Sara Sálamo","Argentina, Spain",2018,TV-MA,104 min,"Dramas, International Movies, Thrillers",Movie,5.6
2 States,Abhishek Varman,"Alia Bhatt, Arjun Kapoor, Ronit Roy, Amrita Singh, Revathy, Aru Krishansh Verma",India,2014,TV-PG,143 min,"Comedies, Dramas, International Movies",Movie,6.9
Baaghi,Sabir Khan,"Tiger Shroff, Shraddha Kapoor, Sudheer Babu, Paras Arora, Sunil Grover, Sourav Chakraborty, Shaurya Bhardawaj",India,2016,TV-14,127 min,"Action & Adventure, International Movies",Movie,5.3
Like Father,Lauren Miller Rogen,"Kristen Bell, Kelsey Grammer, Seth Rogen, Paul W. Downs, Zach Appelman, Leonard Ouzts, Blaire Brooks, Anthony Laciura, Mary Looram, Brett Gelman",United States,2018,TV-MA,104 min,"Comedies, Dramas",Movie,6.1
7 Khoon Maaf,Vishal Bhardwaj,"Priyanka Chopra, Neil Nitin Mukesh, John Abraham, Irrfan Khan, Aleksandr Dyachenko, Annu Kapoor, Naseeruddin Shah, Vivaan Shah, Usha Uthup, Konkona Sen Sharma",India,2011,TV-MA,148 min,"Dramas, International Movies, Thrillers",Movie,6.2
Chillar Party,"Vikas Bahl, Nitesh Tiwari","Irfan Khan, Raju, Sanath Menon, Rohan Grover, Naman Jain, Aarav Khanna, Vishesh Tiwari, Chinmai Chandranshuh, Vedant Desai, Shriya Sharma, Divji Handa",India,2011,TV-PG,127 min,"Children & Family Movies, Comedies, Dramas",Movie,7.5
Fashion,Madhur Bhandarkar,"Priyanka Chopra, Kangana Ranaut, Mugdha Godse, Arbaaz Khan, Arjan Bajwa, Raj Babbar, Kiran Juneja, Samir Soni",India,2008,TV-MA,158 min,"Dramas, International Movies",Movie,6.9
Fitoor,Abhishek Kapoor,"Aditya Roy Kapoor, Katrina Kaif, Tabu, Rahul Bhatt, Lara Dutta, Akshay Oberoi, Aditi Rao Hydari, Ajay Devgn",India,2016,TV-14,124 min,"Dramas, International Movies, Romantic Movies",Movie,5.4
Fiza,Khalid Mohamed,"Karisma Kapoor, Jaya Bhaduri, Hrithik Roshan, Neha, Asha Sachdev, Bikram Saluja, Isha Koppikar, Johny Lever, Sushmita Sen, Manoj Bajpayee",India,2000,TV-14,163 min,"Dramas, International Movies, Music & Musicals",Movie,6.0
Guzaarish,Sanjay Leela Bhansali,"Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel, Aditya Roy Kapoor, Nafisa Ali, Monikangana Dutta, Suhel Seth, Rajit Kapoor, Ash Chandler, Vijay Crishna",India,2010,TV-14,121 min,"Dramas, International Movies",Movie,7.4
Haider,Vishal Bhardwaj,"Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon, Irrfan Khan, Narendra Jha",India,2014,TV-MA,154 min,"Dramas, International Movies, Romantic Movies",Movie,8.1
Highway,Imtiaz Ali,"Randeep Hooda, Alia Bhatt, Durgesh Kumar, Pradeep Nagar",India,2014,TV-14,127 min,"Action & Adventure, Dramas, International Movies",Movie,7.6
I Hate Luv Storys,Punit Malhotra,"Imran Khan, Sonam Kapoor, Sammir Dattani, Samir Soni, Kavin Dave, Bruna Abdullah",India,2010,TV-14,128 min,"Comedies, International Movies, Music & Musicals",Movie,5.6
Mohenjo Daro,Ashutosh Gowariker,"Hrithik Roshan, Sonakshi Sinha, Pooja Hegde, Kabir Bedi, Arunoday Singh, Kishori Shahane, Narendra Jha, Nitish Bharadwaj",India,2016,TV-14,168 min,"Action & Adventure, Dramas, International Movies",Movie,5.6
Raajneeti,Prakash Jha,"Ajay Devgn, Nana Patekar, Ranbir Kapoor, Katrina Kaif, Arjun Rampal, Manoj Bajpayee, Sarah Thompson, Naseeruddin Shah",India,2010,TV-MA,162 min,"Dramas, International Movies, Thrillers",Movie,7.1
Rang De Basanti,Rakeysh Omprakash Mehra,"Aamir Khan, Siddharth, Atul Kulkarni, Sharman Joshi, Kunal Kapoor, Alice Patten, Soha Ali Khan, Waheeda Rehman, Kiron Kher, Om Puri, Anupam Kher, Madhavan",India,2006,TV-MA,159 min,"Dramas, International Movies",Movie,8.1
Rowdy Rathore,Prabhu Deva,"Akshay Kumar, Sonakshi Sinha, Nasser, Yashpal Sharma, Paresh Ganatra, Gurdip Kohli, Mushtaq Khan, Amit Kumar Tiwari",India,2012,TV-MA,137 min,"Action & Adventure, Comedies, International Movies",Movie,5.7
Tamasha,Imtiaz Ali,"Ranbir Kapoor, Deepika Padukone, Piyush Mishra, Javed Sheikh, Nikhil Bhagat, Faraaz Servaia",India,2015,TV-PG,133 min,"Dramas, International Movies, Romantic Movies",Movie,7.3
Tere Naal Love Ho Gaya,Mandeep Kumar,"Riteish Deshmukh, Genelia D'Souza, Tinnu Anand, Om Puri, Smita Jaykar, Chitrashi Rawat, Navin Prabhakar, Kartar Cheema",India,2012,TV-PG,127 min,"Comedies, International Movies, Romantic Movies",Movie,5.8
The Blue Umbrella,Vishal Bhardwaj,"Pankaj Kapur, Shreya Sharma, Dolly Ahluwalia, Deepak Dobriyal, Rahul Kumar, Paramjit Singh Kakran, Piu Dutt, Samrat Mukherjee",India,2005,TV-PG,90 min,"Children & Family Movies, Dramas, Independent Movies",Movie,7.3
Being Napoleon,"Jesse Handsher, Olivier Roland","Mark Schneider, Frank Samson",United States,2018,TV-14,88 min,Documentaries,Movie,5.5
Initial D,"Andrew Lau Wai-Keung, Alan Mak","Jay Chou, Anne Suzuki, Edison Chen, Anthony Wong Chau-Sang, Shawn Yue, Chapman To, Jordan Chan, Kenny Bee","China, Hong Kong",2005,TV-14,109 min,"Action & Adventure, International Movies",Movie,6.3
Invisible,Pablo Giorgelli,"Mora Arenillas, Mara Bestelli, Diego Cremonesi","Argentina, France",2017,TV-MA,87 min,"Dramas, Independent Movies, International Movies",Movie,6.0
Sudani from Nigeria,Zakariya,"Soubin Shahir, Samuel Abiola Robinson, Savithri Sredharan, Aneesh Menon",India,2018,TV-PG,115 min,"Comedies, Dramas, International Movies",Movie,8.2
Da Kath & Kim Code,Ted Emery,"Jane Turner, Gina Riley, Glenn Robbins, Peter Rowsthorn, Magda Szubanski",Australia,2005,TV-14,82 min,Movies,Movie,7.3
Kath & Kimderella,Ted Emery,"Jane Turner, Gina Riley, Magda Szubanski, Glenn Robbins, Peter Rowsthorn, Rob Sitch, Richard E. Grant, Barry Humphries, Erin Mullally, Jessica De Gouw",Australia,2012,TV-14,86 min,Comedies,Movie,5.3
The Mansion,Tony Datis,"Nathalie Odzierejko, Marc Jarousseau, Ludovik Day, Yvick Letexier, Jérôme Niel, Vincent Tirel, Vanessa Guide, Delphine Baril, Baptiste Lorber, Lila Lacombe","France, Belgium",2017,TV-MA,100 min,"Comedies, Horror Movies, International Movies",Movie,4.6
Coco y Raulito: Carrusel de ternura,"Raúl Campos, Jan Suter","Coco Celis, Raúl Meneses",Mexico,2018,TV-MA,57 min,Stand-Up Comedy,Movie,6.6
Extinction,Ben Young,"Michael Peña, Lizzy Caplan, Israel Broussard, Mike Colter, Emma Booth, Lex Shrapnel, Erica Tremblay, Lilly Aspell",United States,2018,TV-MA,95 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy",Movie,5.8
Parmanu: The Story of Pokhran,Abhishek Sharma,"John Abraham, Boman Irani, Diana Penty, Anuja Sathe, Yogendra Tikku, Aditya Hitkari, Vikas Kumar, Ajay Shankar, Darshan Pandya, Mark Benington",India,2018,TV-14,124 min,"Dramas, International Movies",Movie,7.6
Iliza Shlesinger: Elder Millennial,Steve Paley,Iliza Shlesinger,United States,2018,TV-MA,72 min,Stand-Up Comedy,Movie,7.2
The Warning,Daniel Calparsoro,"Raúl Arévalo, Aura Garrido, Hugo Arbues, Belén Cuesta, Antonio Dechent, Aitor Luna, Sergio Mur",Spain,2018,TV-MA,93 min,"International Movies, Thrillers",Movie,5.9
Duck Duck Goose,Chris Jenkins,"Jim Gaffigan, Zendaya, Lance Lim, Greg Proops, Reggie Watts, Carl Reiner, Jennifer Grey, Stephen Fry, Diedrich Bader, Natasha Leggero, Craig Ferguson, Rick Overton","China, United States, United Kingdom",2018,PG,92 min,"Children & Family Movies, Comedies",Movie,5.7
Nothing to Lose,Alexandre Avancini,"Petrônio Gontijo, Day Mesquita, Beth Goulart, Dalton Vigh, Eduardo Galvão, André Gonçalves, Marcello Airoldi",Brazil,2018,PG,133 min,"Dramas, Faith & Spirituality, International Movies",Movie,2.3
The Stranger,Orson Welles,"Edward G. Robinson, Loretta Young, Orson Welles, Philip Merivale, Richard Long, Konstantin Shayne, Byron Keith, Billy House",United States,1946,TV-PG,94 min,"Classic Movies, Dramas, Thrillers",Movie,7.3
Camarón: The Film,Alexis Morante,Juan Diego,Spain,2018,TV-14,105 min,"Documentaries, International Movies, Music & Musicals",Movie,7.5
Going for Gold,Clay Glen,"Kelli Berglund, Emily Morris, Terry Rogers, Jess Kuss, Jo Stone, Elysia Markou, Daisy Anderson, Ruth Natalie Fallon, Henry Turczynowicz, Martha Lott",Australia,2018,TV-G,88 min,"Children & Family Movies, Dramas, International Movies",Movie,4.7
How It Ends,David M. Rosenthal,"Theo James, Forest Whitaker, Kat Graham, Nicole Ari Parker, Mark O'Brien, Grace Dove",United States,2018,TV-MA,113 min,"Action & Adventure, Sci-Fi & Fantasy",Movie,5.0
Jim Jefferies: This Is Me Now,Scott Zabielski,Jim Jefferies,United States,2018,TV-MA,71 min,Stand-Up Comedy,Movie,7.3
Us and Them,Joseph Martin,"Jack Roth, Tim Bentinck, Daniel Kendrick, Sophie Colquhoun, Paul Westwood, Carolyn Backhouse, Louis Dempsey, Andrew Tiernan",United Kingdom,2017,TV-MA,83 min,"Dramas, International Movies, Thrillers",Movie,7.3
Us and Them,Rene Liu,"Jing Boran, Zhou Dongyu, Zhuangzhuang Tian, Qu Zheming, Zhang Zixian",China,2018,TV-MA,119 min,"Dramas, International Movies, Romantic Movies",Movie,7.3
Mr. Sunshine,Lee Eung-bok,"Lee Byung-hun, Kim Tae-ri, Yoo Yeon-seok, Kim Min-jung, Byun Yo-han",South Korea,2018,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV Show,8.7
Luciano Mellera: Infantiloide,"Raúl Campos, Jan Suter",Luciano Mellera,Argentina,2018,TV-14,66 min,Stand-Up Comedy,Movie,7.5
The Legacy of a Whitetail Deer Hunter,Jody Hill,"Josh Brolin, Danny McBride, Montana Jordan, Scoot McNairy, Carrie Coon",United States,2018,TV-14,83 min,"Action & Adventure, Comedies, Dramas",Movie,5.5
The Skin of the Wolf,Samu Fuentes,"Mario Casas, Irene Escolar, Ruth Díaz",Spain,2018,TV-14,110 min,"Dramas, Independent Movies, International Movies",Movie,5.8
White Fang,Alexandre Espigares,"Nick Offerman, Rashida Jones, Paul Giamatti, Eddie Spears, David Boat, Sean Kenin, Raquel Antonia, Daniel Hagen, Stephen Kramer Glickman, William Calvert, Jason Grasl, Armando Riesco","France, Luxembourg, United States",2018,TV-PG,88 min,"Children & Family Movies, Dramas",Movie,6.9
King of Peking,Sam Voutas,"Zhao Jun, Wang Naixun, Han Qing, Si Chao, Geng Bowen, Yi Long","China, United States, Australia",2018,TV-PG,88 min,"Comedies, Dramas, International Movies",Movie,6.4
Angamaly Diaries,Lijo Jose Pellissery,"Antony Varghese, Sarath Kumar, Tito Wilson, Reshma Rajan, Vineeth Vishwam, Kichu Tellus, Bitto Davis, Ullas Jose Chemban, Merin Jose Pottackal, Binny Rinky Benjamin, Amrutha Anna Reji",India,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas",Movie,7.9
Chalte Chalte,Aziz Mirza,"Shah Rukh Khan, Rani Mukerji, Jas Arora, Satish Shah, Rajiv Verma, Lillete Dubey, Jayshree T., Johny Lever",India,2003,TV-PG,166 min,"Dramas, International Movies, Romantic Movies",Movie,6.5
Duck Butter,Miguel Arteta,"Alia Shawkat, Laia Costa, Mae Whitman, Hong Chau, Kate Berlant, Lindsay Burdge, Kumail Nanjiani, Mark Duplass, Jay Duplass, Jenny O'Hara",United States,2018,TV-MA,94 min,"Dramas, Independent Movies, LGBTQ Movies",Movie,5.2
My Birthday Song,Samir Soni,"Sanjay Suri, Nora Fatehi, Zenia Starr, Suparna Krishna, Elena Kazan",India,2018,TV-14,92 min,"Dramas, International Movies, Thrillers",Movie,5.6
Zoo,Shlok Sharma,"Shashank Arora, Shweta Tripathi, Rahul Kumar, Gopal K. Singh, Yogesh Kurme, Prince Daniel",India,2018,TV-MA,94 min,"Dramas, Independent Movies, International Movies",Movie,6.6
The Maus,Yayo Herrero,"Alma Terzic, August Wittgenstein, Aleksandar Seksan, Sanin Milavic, Diana Fernández Pérez, Ella Jazz",Spain,2017,TV-MA,90 min,"Horror Movies, Independent Movies, International Movies",Movie,4.7
Calibre,Matt Palmer,"Jack Lowden, Martin McCann, Tony Curran, Ian Pirie, Cameron Jack",United Kingdom,2018,TV-MA,101 min,"Dramas, International Movies, Thrillers",Movie,6.8
Jani Dueñas: Grandes fracasos de ayer y hoy,"Raúl Campos, Jan Suter",Jani Dueñas,Chile,2018,TV-MA,77 min,Stand-Up Comedy,Movie,4.8
Penalty Kick,Rodrigo Triana,"Adrián Uribe, Julieth Restrepo, Carlos Manuel Vesga, José Sefami, Mary Paz Mata, Alicia Sandoval, Teresa Monroy, Eduardo Ibarrola","Colombia, Mexico",2018,TV-14,89 min,"Comedies, Dramas, International Movies",Movie,3.7
W. Kamau Bell: Private School Negro,Shannon Hartman,W. Kamau Bell,United States,2018,TV-MA,66 min,Stand-Up Comedy,Movie,6.4
"To Each, Her Own",Myriam Aziza,"Sarah Stern, Jean-Christophe Folly, Julia Piaton, Arié Elmaleh, Clémentine Poidatz, Stéphane Debac, Richard Berry, Catherine Jacob",France,2018,TV-MA,95 min,"Comedies, International Movies, LGBTQ Movies",Movie,5.4
Brain on Fire,Gerard Barrett,"Chloë Grace Moretz, Thomas Mann, Richard Armitage, Jenny Slate, Carrie-Anne Moss, Tyler Perry, Alex Zahara","United States, Canada, Ireland",2016,PG-13,89 min,"Dramas, Independent Movies, International Movies",Movie,6.6
Hannah Gadsby: Nanette,"Madeleine Parry, Jon Olb",Hannah Gadsby,Australia,2018,TV-MA,70 min,Stand-Up Comedy,Movie,8.1
Lust Stories,"Zoya Akhtar, Karan Johar, Anurag Kashyap, Dibakar Banerjee","Vicky Kaushal, Bhumi Pednekar, Radhika Apte, Neha Dhupia, Manisha Koirala, Akash Thosar, Randeep Jha, Neil Bhoopalam, Jaideep Ahlawat, Sanjay Kapoor, Kiara Advani",India,2018,TV-MA,121 min,"Comedies, Dramas, International Movies",Movie,6.4
Maktub,Oded Raz,"Guy Amir, Hanan Savyon, Itzik Cohen, Igal Naor",Israel,2018,TV-MA,106 min,"Comedies, International Movies",Movie,7.3
Set It Up,Claire Scanlon,"Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs, Meredith Hagner, Pete Davidson, Tituss Burgess",United States,2018,TV-14,106 min,"Comedies, Romantic Movies",Movie,6.5
Sunday's Illness,Ramón Salazar,"Bárbara Lennie, Susi Sánchez, Miguel Ángel Solá, Richard Bohringer",Spain,2017,TV-14,113 min,"Dramas, Independent Movies, International Movies",Movie,6.9
Alex Strangelove,Craig Johnson,"Daniel Doheny, Madeline Weinstein, Antonio Marziale, Daniel Zolghadri, Annie Q., Nik Dodani, Fred Hechinger, Kathryn Erbe, Isabella Amara, Sophie Faulkenberry",United States,2018,TV-MA,100 min,"Comedies, Dramas, Independent Movies",Movie,6.3
Ali's Wedding,Jeffrey Walker,"Osamah Sami, Don Hany, Helana Sawires, Frances Duca, Majid Shokor, Rodney Afif, Ghazi Alkinani, Ryan Corr",Australia,2018,TV-MA,110 min,"Comedies, Independent Movies, International Movies",Movie,6.9
Bad Genius,Nattawut Poonpiriya,"Chutimon Chuengcharoensukying, Chanon Santinatornkul, Teeradon Supapunpinyo, Eisaya Hosuwan, Thaneth Warakulnukroh, Sarinrat Thomas, Ego Mikitas, Pasin Kuansataporn, Sahajak Boonthanakit, Kanjana Vinaipanid",Thailand,2017,TV-MA,130 min,"International Movies, Thrillers",Movie,7.6
Outside In,Lynn Shelton,"Jay Duplass, Edie Falco, Kaitlyn Dever, Ben Schwartz, Louis Hobson, Alycia Delmore, Pamela Reed, Matt Malloy, Aaron Blakely",United States,2018,TV-MA,110 min,"Dramas, Independent Movies",Movie,6.7
Sara's Notebook,Norberto López Amado,"Belén Rueda, Marian Álvarez, Iván Mendes, Manolo Cardona, Nick Devlin, Florin Opritescu",Spain,2018,TV-MA,117 min,"Dramas, International Movies, Thrillers",Movie,5.9
Fernando Sanjiao: Hombre,"Raúl Campos, Jan Suter",Fernando Sanjiao,Argentina,2018,TV-MA,63 min,Stand-Up Comedy,Movie,6.3
Ibiza,Alex Richanbach,"Gillian Jacobs, Vanessa Bayer, Phoebe Robinson, Richard Madden, Michaela Watkins, Félix Gómez",United States,2018,TV-MA,94 min,"Comedies, Romantic Movies",Movie,5.2
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,Marcus Raboy,"Steve Martin, Martin Short",United States,2018,TV-14,74 min,Stand-Up Comedy,Movie,7.1
Cargo,"Yolanda Ramke, Ben Howling","Martin Freeman, Anthony Hayes, Susie Porter, Kris McQuade, Caren Pistorius","Australia, United Arab Emirates",2018,TV-MA,104 min,"Horror Movies, International Movies",Movie,6.3
Cargo,"Yolanda Ramke, Ben Howling","Martin Freeman, Anthony Hayes, Susie Porter, Kris McQuade, Caren Pistorius","Australia, United Arab Emirates",2018,TV-MA,104 min,"Horror Movies, International Movies",Movie,5.6
Catching Feelings,Kagiso Lediga,"Kagiso Lediga, Pearl Thusi, Akin Omotoso, Andrew Buckland",South Africa,2018,TV-MA,117 min,"Comedies, International Movies, Romantic Movies",Movie,5.8
Aiyaary,Neeraj Pandey,"Sidharth Malhotra, Manoj Bajpayee, Rakul Preet Singh, Pooja Chopra, Adil Hussain, Kumud Mishra, Naseeruddin Shah, Anupam Kher, Vikram Gokhale, Juhi Babbar",India,2018,TV-14,158 min,"Action & Adventure, Dramas, International Movies",Movie,5.2
Ali Wong: Hard Knock Wife,Jay Karas,Ali Wong,United States,2018,TV-MA,64 min,Stand-Up Comedy,Movie,7.3
Spivak,"Anthony Abrams, Adam Larson Broder","Michael Bacall, Maggie Lawson, Elden Henson, Robert Kazinsky, Mark Webber, Chloe Wepper",United States,2017,TV-MA,92 min,"Comedies, Independent Movies",Movie,5.6
The Kissing Booth,Vince Marcello,"Joey King, Joel Courtney, Jacob Elordi, Molly Ringwald","United Kingdom, United States",2018,TV-14,105 min,"Comedies, Romantic Movies",Movie,5.9
Hari Kondabolu: Warn Your Relatives,Bobcat Goldthwait,Hari Kondabolu,United States,2018,TV-MA,67 min,Stand-Up Comedy,Movie,6.5
Family Blood,Sonny Mallhi,"James Ransone, Vinessa Shaw, Ajiona Alexus, Colin Ford",United States,2018,TV-MA,92 min,Horror Movies,Movie,4.2
Pup Star: World Tour,Robert Vince,"Jed Ress, Makenzie Moss, Denisse Ojeda, Reggie De Leon, David DeLuise, Kaitlyn Maher, Jorge Diaz, George Newbern, Diedrich Bader, Mackenzie Sol","Canada, Japan, United States",2018,G,87 min,"Children & Family Movies, Comedies, Music & Musicals",Movie,3.8
