title,director,cast,country,release_year,rating,duration,genre,type,imdb_score
Seventeen,Daniel Sánchez Arévalo,"Biel Montoro, Nacho Sánchez, Lola Cordón, Itsaso Arana, Chani Martín, Iñigo Aranburu, Kandido Uranga, Javier Cifrián, Mamen Duch, Carolina Clemente, Jorge Cabrera, Daniel Fuster, Edgar Costas, Patxi Santamaría",Spain,2019,TV-MA,100 min,"Comedies, Dramas, International Movies",Movie,7.2
The Laundromat,Steven Soderbergh,"Meryl Streep, Gary Oldman, Antonio Banderas, Sharon Stone, James Cromwell, Jeffrey Wright, Melissa Rauch, Jeff Michalski, Jane Morris, Robert Patrick, David Schwimmer",United States,2019,R,96 min,"Comedies, Dramas",Movie,6.3
Upstarts,Udai Singh Pawar,"Priyanshu Painyuli, Chandrachoor Rai, Shadab Kamal, Rajeev Siddhartha, Sheetal Thakur, Ninad Kamat, Swati Semwal, Eijaz Khan",India,2019,TV-14,112 min,"Comedies, Dramas, International Movies",Movie,6.7
Verses of Love 2,Guntur Soeharjanto,"Fedi Nuril, Tatjana Saphira, Dewi Sandra, Chelsea Islan, Nur Fazura, Pandji Pragiwaksono, Arie Untung, Bront Palarae, Dewi Irawan",Indonesia,2017,TV-14,127 min,"Dramas, Faith & Spirituality, International Movies",Movie,5.5
Sinister 2,Ciarán Foy,"Shannyn Sossamon, John Beasley, James Ransone, Tate Ellington, Robert Daniel Sloan, Dartanian Sloan, Lucas Jade Zumann, Lea Coco","United States, United Kingdom",2015,R,97 min,Horror Movies,Movie,5.3
The Game Changers,Louie Psihoyos,"Arnold Schwarzenegger, Lewis Hamilton, James Wilks, Patrik Baboumian, Scott Jurek, Nimai Delgado, Morgan Mitchell, Rip Esselstyn, Dotsie Bausch, Damien Mander, Michael Thomas, Dr. Dean Ornish, David Goldman",United States,2018,TV-MA,86 min,"Documentaries, Sports Movies",Movie,7.8
Black Money Love,Ahmet Katıksız,"Güler Ökten, Hazal Türesan, İlkin Tüfekçi, Bedia Ener, Erkan Can, Öykü Karayel, Emre Kızılırmak, Bestemsu Özdemir, Engin Akyürek, Burak Tamdoğan, Saygın Soysal, Tuba Büyüküstün, Ali Yörenç, Ahmet Tansu Taşanlar, Elif İnci",Turkey,2014,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,7.4
Street Flow,"Leïla Sy, Kery James","Kery James, Jammeh Diangana, Chloé Jouannet, Bakary Diombera",France,2019,TV-MA,96 min,"Dramas, International Movies",Movie,6.4
Bygones Be Bygones,Hakan Algül,"Ata Demirer, Tuvana Türkay, Ülkü Duru, Salih Kalyon, Renan Bilek, Seda Güven, Toprak Sergen, Ali Yoğurtçuoğlu, Bedir Bedir, Gümeç Alpay Aslan",Turkey,2017,TV-MA,104 min,"Comedies, International Movies, Romantic Movies",Movie,6.2
El Camino: A Breaking Bad Movie,Vince Gilligan,Aaron Paul,United States,2019,TV-MA,123 min,"Dramas, Thrillers",Movie,7.3
Fractured,Brad Anderson,"Sam Worthington, Lily Rabe, Stephen Tobolowsky, Adjoa Andoh, Lucy Capri, Lauren Cochrane, Shane Dean",United States,2019,TV-MA,100 min,Thrillers,Movie,6.4
The Bling Lagosians,Bolanle Austen-Peters,"Gbenga Titiloye, Elvina Ibru, Sharon Ooja, Osas Ighodaro Ajibade, Monalisa Chinda, Toyin Abraham, Bisola Aiyeola, Oladele Ogunlana, Jimmy Odukoya, Alex Ekubo",Nigeria,2019,TV-14,99 min,"Dramas, International Movies",Movie,6.4
The Forest of Love,Sion Sono,"Kippei Shiina, Shinnosuke Mitsushima, Kyooko Hinami, Eri Kamataki, Young Dais, Natsuki Kawamura, Yuzuka Nakaya, Dai Hasegawa, Chiho Fujii, Sei Matobu, Denden",Japan,2019,TV-MA,151 min,"Dramas, International Movies, Thrillers",Movie,6.3
The Influence,Dennis Rovira van Boekholt,"Manuela Vellés, Maggie Civantos, Alain Hernández, Claudia Placer, Daniela Rubio, Emma Suárez, Ramón Esquinas, Felipe García Vélez, Mariana Cordero","Spain, France",2019,TV-MA,102 min,"Horror Movies, International Movies",Movie,4.6
After,Jenny Gage,"Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher",United States,2019,PG-13,106 min,"Dramas, Romantic Movies",Movie,5.2
Deon Cole: Cole Hearted,Ryan Polito,Deon Cole,United States,2019,TV-MA,70 min,Stand-Up Comedy,Movie,6.9
Noblemen,Vandana Kataria,"Ali Haji, Kunal Kapoor, Muskkaan Jaferi, Hardik Thakkar, Ali Mir, Shaan Grover, M.K. Raina, Ivan Rodrigues",India,2019,TV-MA,109 min,"Dramas, Independent Movies, International Movies",Movie,5.6
Brother in Love,Onur Bilgetay,"Cem Gelinoğlu, Melis Babadag, Ege Kökenli, Müfit Kayacan, Lale Başar, Ali Erkazan, Özlem Çakar, Selen Domaç, Ferdi Sancar, Güven Hokna",Turkey,2019,TV-14,110 min,"Comedies, International Movies, Romantic Movies",Movie,7.0
In the Tall Grass,Vincenzo Natali,"Patrick Wilson, Laysla De Oliveira, Avery Whitted, Harrison Gilbertson, Rachel Wilson, Will Buie Jr.",Canada,2019,TV-MA,102 min,"Horror Movies, Thrillers",Movie,5.4
Kids on the Block,Tugçe Soysop,"Selim Bayraktar, Berat Efe Parlar, Esat Polat Güler, Eda Döğer, Dora Dalgıç, Taha Sönmezisik, Zeynep Ilgin Çelik, Arda Taşarcan, Alperen Efe Esmer, İlknur Külahlıoglu, İkra Külahlıoğlu",Turkey,2019,TV-PG,102 min,"Children & Family Movies, Comedies",Movie,5.6
Super Monsters: Vida's First Halloween,"Jacob Joice, Steve Ball","Gigi Saul Guerrero, Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt McKillip, Kathleen Barr",United States,2019,TV-Y,24 min,Children & Family Movies,Movie,5.9
Ready to Mingle,Luis Javier Henaine,"Cassandra Ciangherotti, Gabriela de la Garza, Irán Castillo, Sophie Alexander-Katz, Flor Eduarda Gurrola, Mariana Cabrera, Juan Pablo Medina, Pablo Cruz Guerrero, Diana Bovio, Andrés Almeida",Mexico,2019,TV-MA,98 min,"Comedies, International Movies, Romantic Movies",Movie,5.9
Blow,Ted Demme,"Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths, Paul Reubens, Jordi Mollà, Cliff Curtis, Miguel Sandoval, Ethan Suplee, Ray Liotta",United States,2001,R,123 min,Dramas,Movie,7.5
Good Luck Chuck,Mark Helfrich,"Dane Cook, Jessica Alba, Dan Fogler, Ellia English, Sasha Pieterse, Annie Wood, Lonny Ross, Chelan Simmons, Simone Bailly, Jodelle Ferland, Crystal Lowe, Troy Gentile, Georgia Craig, Michelle Harrison, Chiara Zanni","United States, Canada",2007,UR,99 min,"Comedies, Romantic Movies",Movie,5.6
Sin City,"Robert Rodriguez, Frank Miller","Bruce Willis, Mickey Rourke, Jessica Alba, Clive Owen, Rosario Dawson, Benicio Del Toro, Nick Stahl, Elijah Wood, Rutger Hauer, Powers Boothe, Devon Aoki, Alexis Bledel, Josh Hartnett, Jaime King, Brittany Murphy, Michael Clarke Duncan, Michael Madsen",United States,2005,R,124 min,Action & Adventure,Movie,3.1
Supergirl,Jeannot Szwarc,"Faye Dunaway, Hart Bochner, Helen Slater, Peter Cook","United Kingdom, United States",1984,PG,125 min,"Action & Adventure, Sci-Fi & Fantasy",Movie,6.2
The Bucket List,Rob Reiner,"Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd, Alfonso Freeman, Rob Morrow, Rowena King, Christopher Stapleton, Ian Anthony Dale, Richard McGonagle",United States,2007,PG-13,97 min,"Comedies, Dramas",Movie,7.4
The Figurine (Araromire),Kunle Afolayan,"Ramsey Nouah, Omoni Oboli, Kunle Afolayan, Funlola Aofiyebi, Tosin Sido, David J. Oserwe, Kate Adepegba, Muraina Oyelami, Wale Adebayo, Ombo Gogo Ombo",Nigeria,2009,TV-14,121 min,"Horror Movies, International Movies, Thrillers",Movie,4.4
The Pursuit of Happyness,Gabriele Muccino,"Will Smith, Jaden Smith, Thandie Newton, Brian Howe, James Karen, Dan Castellaneta, Kurt Fuller, Takayo Fischer",United States,2006,PG-13,117 min,Dramas,Movie,8.0
Troy,Wolfgang Petersen,"Brad Pitt, Eric Bana, Orlando Bloom, Diane Kruger, Peter O'Toole, Rose Byrne, Sean Bean, Brian Cox, Julie Christie, Saffron Burrows","United States, Malta, United Kingdom",2004,R,163 min,"Action & Adventure, Dramas",Movie,7.3
Mo Gilligan: Momentum,Chris Howe,Mo Gilligan,United Kingdom,2019,TV-MA,64 min,Stand-Up Comedy,Movie,6.3
Deliha 2,Gupse Özay,"Gupse Özay, Eda Ece, Aksel Bonfil, Derya Alabora, Esin Eden, Hülya Duyar, Ali Çelik, Mert Öner",Turkey,2018,TV-PG,102 min,"Comedies, International Movies",Movie,4.7
In the Shadow of the Moon,Jim Mickle,"Boyd Holbrook, Michael C. Hall, Cleopatra Coleman, Bokeem Woodbine, Rudi Dharmalingam, Rachel Keller",United States,2019,TV-MA,116 min,"Dramas, Sci-Fi & Fantasy, Thrillers",Movie,6.2
Malaal,Mangesh Hadawale,"Meezaan Jaffrey, Sharmin Segal, Chinmaya Surve, Anil Gawas, Sonal Jha, Sanjay Gurbaxani, Sameer Dharmadhikari, Deepak Damle",India,2019,TV-14,133 min,"International Movies, Romantic Movies",Movie,5.8
Furie,Le Van Kiet,"Ngo Thanh Van, Phan Thanh Nhien, Mai Cat Vi, Thanh Hoa, Pham Anh Khoa",Vietnam,2019,TV-MA,97 min,"Action & Adventure, Dramas, International Movies",Movie,5.6
Inside Man: Most Wanted,Michael J. Bassett,"Aml Ameen, Rhea Seehorn, Roxanne McKee, Urs Rechn, Akshay Kumar, Tanya van Graan, Andre Jacobs, Sven Ruygrok",United States,2019,R,106 min,Action & Adventure,Movie,5.6
Jeff Dunham: Beside Himself,Troy Miller,Jeff Dunham,United States,2019,TV-MA,58 min,Stand-Up Comedy,Movie,6.9
Manmadhudu 2,Rahul Ravindran,"Nagarjuna Akkineni, Rakul Preet Singh, Lakshmi, Rao Ramesh, Vennela Kishore, Jhansi, Devadarshini Chetan, Nishanti",India,2019,TV-MA,152 min,"Comedies, Dramas, International Movies",Movie,4.8
Under the Eiffel Tower,Archie Borders,"Matt Walsh, Judith Godreche, Reid Scott, Michaela Watkins, David Wain, Gary Cole",United States,2018,TV-MA,87 min,"Comedies, Independent Movies, Romantic Movies",Movie,5.4
King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun Safaru, iLLBLISS, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",Nigeria,2018,TV-MA,182 min,"Dramas, International Movies",Movie,5.8
Between Two Ferns: The Movie,Scott Aukerman,"Zach Galifianakis, Lauren Lapkus, Ryan Gaul, Jiavani Linayao, Will Ferrell",United States,2019,TV-MA,83 min,Comedies,Movie,6.1
Kabir Singh,Sandeep Reddy Vanga,"Shahid Kapoor, Kiara Advani, Suresh Oberoi, Arjan Bajwa, Adil Hussain, Nikita Dutta, Kamini Kaushal, Anurag Arora",India,2019,TV-MA,171 min,"Dramas, International Movies, Romantic Movies",Movie,7.0
